filename,cleanup content,directory,cluster
97383966_1.txt,characterrun characterrun string text if characterrun getfontsize 2 blockproperies pfontsize style append font size characterrun getfontsize 2 pt,CharacterRun,6.0
69098620_1.txt,characterrun run range getcharacterrun i string text run text run replacetext map get text true,CharacterRun,6.0
97406645_1.txt,void copy xslfshape sh can t copy sh getclass getsimplename into getclass getsimplename setanchor sh getanchor,XSLFShape,4.0
97406700_3.txt,xslfshape s2 tgtshapes i s2 copy s1,XSLFShape,3.0
97406700_2.txt,for xslfshape shape getshapes shape applytransform graphics shape draw graphics,XSLFShape,1.0
97406700_1.txt,public boolean removeshape xslfshape xshape xmlobject obj xshape getxmlobject,XSLFShape,2.0
97406768_4.txt,for xslfshape shape getshapelist shape applytransform graphics shape draw graphics,XSLFShape,1.0
97406768_1.txt,public boolean removeshape xslfshape xshape xmlobject obj xshape getxmlobject,XSLFShape,2.0
97406768_2.txt,xslfshape s2 tgtshapes get i s2 copy s1,XSLFShape,3.0
97406768_3.txt,xslfshape s2 tgtshapes get numshapes i s2 copy s1,XSLFShape,3.0
15642564_1.txt,public static ptg createptg recordinputstream in byte id in readbyte,RecordInputStream,3.0
15642562_1.txt,public areaptg recordinputstream in field 1 first row in readshort field 2 last row in readshort field 3 first column in readshort field 4 last column in readshort,RecordInputStream,1.0
88639700_1.txt,public saverecalcrecord recordinputstream in field 1 recalc in readshort,RecordInputStream,1.0
15642563_1.txt,public area3dptg recordinputstream in field 1 index extern sheet in readshort field 2 first row in readshort field 3 last row in readshort field 4 first column in readshort field 5 last column in readshort,RecordInputStream,1.0
15642537_1.txt,public arrayptg recordinputstream in field 1 reserved in readbyte field 2 reserved in readbyte field 3 reserved in readbyte field 4 reserved in readbyte field 5 reserved in readbyte field 6 reserved in readbyte field 7 reserved in readbyte,RecordInputStream,1.0
15642537_2.txt,public void readtokenvalues recordinputstream in token 1 columns short 0x00ff in readbyte token 2 rows in readshort byte grbit in readbyte token 3 arrayvalues x y new double in readdouble token 3 arrayvalues x y in readunicodestring,RecordInputStream,2.0
88639900_1.txt,public windowprotectrecord recordinputstream in this in readushort,RecordInputStream,3.0
15642577_1.txt,public ref3dptg recordinputstream in field 1 index extern sheet in readshort field 2 row in readshort field 3 column in readshort,RecordInputStream,1.0
97401200_1.txt,public featsmarttag recordinputstream in data in readremainder,RecordInputStream,3.0
15642343_2.txt,public static record createrecord recordinputstream in constructor recordsmap get new short in getsid,RecordInputStream,2.0
15642343_1.txt,recordinputstream recstream new recordinputstream in while recstream hasnextrecord recstream nextrecord,RecordInputStream,2.0
42462258_1.txt,hssfsheet sheet hssfworkbook data wb getsheetat sheetnum sheet setforceformularecalculation true,HSSFSheet,10.0
110498474_1.txt,hssfsheet sheet throws xmlstreamexception list hssfdatavalidation validationdata sheet getdatavalidations,HSSFSheet,7.0
52992680_1.txt,hssfsheet sheet workbook getsheetat sheetnumber int rowcount sheet getlastrownum hssfrow row sheet getrow rowindex,HSSFSheet,17.0
72854626_1.txt,hssfsheet hssfsheet workbook getsheet setcellvalue getsheet getname hssfrow hssfrow hssfsheet getrow setcellvalue getrow hssfrow hssfsheet createrow setcellvalue getrow,HSSFSheet,4.0
72414056_1.txt,hssfsheet sheet wb getsheet test sheet hssfrow row sheet getrow 2,HSSFSheet,16.0
73315299_2.txt,hssfsheet sheet workbook createsheet title sheet setdefaultcolumnwidth 15 hssfpatriarch patriarch sheet createdrawingpatriarch hssfrow row sheet createrow 0 row sheet createrow index sheet setcolumnwidth i short 35 7 80 row sheet createrow index 1,HSSFSheet,23.0
72854680_1.txt,private hssfsheet sheet int firstrow sheet getfirstrownum int lastrow sheet getlastrownum hssfrow row sheet getrow rowindex string oldname sheet getsheetname int width sheet getcolumnwidth col 256 6 for iterator row it sheet rowiterator it hasnext sheet removerow row hssfrow hssfrow sheet getrow row hssfrow sheet createrow row hssfrow therow sheet getrow row datavalidationconstraint constraint sheet getdatavalidationhelper createformulalistconstraint namedrange datavalidationconstraint constraint sheet getdatavalidationhelper createcustomconstraint formula sheet addvalidationdata datavalidation,HSSFSheet,18.0
71586384_1.txt,hssfsheet sheet1 workbook createsheet sheet1 hssfrow row sheet1 createrow count,HSSFSheet,11.0
72414056_2.txt,hssfsheet sheet wb getsheet sheet1 hssfrow row sheet getrow 0,HSSFSheet,15.0
71586384_3.txt,hssfsheet asheet workbook getsheetat numsheets for int rownumofsheet 0 rownumofsheet asheet getlastrownum rownumofsheet if null asheet getrow rownumofsheet hssfrow arow asheet getrow rownumofsheet,HSSFSheet,1.0
73315299_1.txt,hssfsheet sheet workbook createsheet title sheet setdefaultcolumnwidth 15 hssfpatriarch patriarch sheet createdrawingpatriarch hssfrow row sheet createrow 0 row sheet createrow index,HSSFSheet,13.0
71586384_2.txt,hssfsheet asheet workbook getsheetat numsheets for int rownumofsheet 1 rownumofsheet asheet getlastrownum rownumofsheet if null asheet getrow rownumofsheet hssfrow arow asheet getrow rownumofsheet,HSSFSheet,2.0
72414056_3.txt,hssfsheet sheet wb getsheet sheet1 hssfrow row sheet getrow 0,HSSFSheet,15.0
42988393_1.txt,hssfsheet st wb getsheetat 0 countrows st getphysicalnumberofrows 1 hssfrow row st getrow i,HSSFSheet,22.0
72414056_4.txt,hssfsheet sheet wb getsheet sheet1 hssfrow row sheet getrow 0,HSSFSheet,15.0
39694405_2.txt,private void generatechildrows hssfsheet overviewsheet cellstyle style hssfrow row overviewsheet createrow rownumber,HSSFSheet,12.0
43507489_1.txt,hssfsheet sheet wb createsheet resources restriction hssfrow horztitle sheet createrow 0 sheet setcolumnwidth 0 8000 sheet setcolumnwidth 1 10000 hssfrow row sheet createrow i 1,HSSFSheet,24.0
39694405_1.txt,hssfsheet overviewsheet wb createsheet sheetname hssfheader sheetheader overviewsheet getheader footer footer overviewsheet getfooter row row overviewsheet createrow 0 overviewsheet createfreezepane 0 1 0 1 row overviewsheet createrow overviewsheetrow overviewsheet autosizecolumn i overviewsheet setfittopage true overviewsheet setautobreaks true,HSSFSheet,20.0
48925127_1.txt,hssfsheet sheet rnum sheet getlastrownum if row sheet getrow j null,HSSFSheet,19.0
46011490_1.txt,private int createheader hssfsheet sheet list tablecolumn t header int rowidx int clmidx int offset hssfrow row sheet createrow rowidx sheet addmergedregion new cellrangeaddress rowidx rowidx headeroffset 0 i nextcelloffset i headeroffset 1 nextcelloffset,HSSFSheet,26.0
39694394_1.txt,hssfsheet overviewsheet wb createsheet sheetname hssfheader sheetheader overviewsheet getheader footer footer overviewsheet getfooter overviewsheet createfreezepane 0 1 0 1 row row overviewsheet createrow 0 row overviewsheet createrow overviewsheetrow row overviewsheet createrow overviewsheetrow overviewsheet autosizecolumn i overviewsheet setfittopage true overviewsheet setautobreaks true,HSSFSheet,20.0
39694396_1.txt,hssfsheet overviewsheet wb createsheet sheetname header sheetheader overviewsheet getheader overviewsheet createfreezepane 0 1 0 1 row row overviewsheet createrow 0 row overviewsheet createrow overviewsheetrow row overviewsheet createrow overviewsheetrow overviewsheet grouprow startrow endrow overviewsheet setrowgroupcollapsed startrow true overviewsheet autosizecolumn i overviewsheet setautobreaks true overviewsheet getprintsetup setfitwidth short 1 overviewsheet getprintsetup setfitheight short 500 footer footer overviewsheet getfooter,HSSFSheet,21.0
46011490_2.txt,hssfsheet sheet wb createsheet hssfrow row sheet createrow rowidx sheet setcolumnwidth i int 258 8 columnwidths get i row sheet getrow rowidx headerdepth 1 sheet setcolumnwidth i int 258 8 column getprefwidth row sheet createrow rowidx,HSSFSheet,27.0
43507470_1.txt,hssfsheet sheet workbook createsheet hssfrow headerrow sheet createrow 0 hssfrow row sheet createrow rowindex sheet autosizecolumn short i,HSSFSheet,14.0
72854649_2.txt,public void clearvalidationdata hssfsheet sheet sheet getdatavaliditytable clear,HSSFSheet,8.0
122444114_3.txt,private void makeheader final list field columns final hssfsheet sheet final font font sheet getworkbook createfont final cellstyle style sheet getworkbook createcellstyle final hssfrow row sheet createrow 0,HSSFSheet,29.0
122444114_2.txt,final hssfsheet sheet workbook createsheet messages exportimpl excelsheet name final hssfheader header sheet getheader final hssffooter footer sheet getfooter final hssfprintsetup printsetup sheet getprintsetup sheet setautofilter new cellrangeaddress 0 0 0 columns size 1 sheet createfreezepane 0 1 sheet setfittopage true sheet setautobreaks true sheet setmargin sheet leftmargin 0 25 sheet setmargin sheet rightmargin 0 25 sheet setmargin sheet topmargin 0 25 sheet setmargin sheet bottommargin 0 5,HSSFSheet,28.0
72854649_1.txt,public list hssfdatavalidation getvalidationdata final hssfsheet sheet datavaliditytable dvt sheet getdatavaliditytable,HSSFSheet,9.0
122444114_1.txt,final hssfsheet sheet createsheet events workbook columns final hssfrow row sheet createrow i 1 sheet autosizecolumn i,HSSFSheet,25.0
35739735_1.txt,hssfsheet mysheet if mysheet getrow i null mysheet removerow mysheet getrow i myrow mysheet createrow rownum,HSSFSheet,3.0
71407799_1.txt,public static int getrownumber hssfsheet sheet return sheet getlastrownum,HSSFSheet,5.0
71407799_2.txt,public static hssfrow getrow hssfsheet sheet int index return sheet getrow index,HSSFSheet,6.0
73315299_1.txt,hssfclientanchor anchor new hssfclientanchor 0 0 1023 255 short 6 index short 6 anchor setanchortype 2,HSSFClientAnchor,4.0
94171992_1.txt,hssfclientanchor anchor new hssfclientanchor 0 0 1023 255 col1 row1 col2 row2 anchor setanchortype 2,HSSFClientAnchor,5.0
61719045_1.txt,hssfclientanchor anchor anchor setanchortype 2,HSSFClientAnchor,3.0
15642330_3.txt,hssfclientanchor anchor new hssfclientanchor anchor setcol2 short col2 anchor setdx2 dx2 anchor setrow2 row2 anchor setdy2 dy2,HSSFClientAnchor,1.0
15642330_2.txt,hssfclientanchor pref getpreferredsize int row2 anchor getrow1 pref getrow2 pref getrow1 int col2 anchor getcol1 pref getcol2 pref getcol1 anchor setdx2 pref getdx2 anchor setdy2 pref getdy2,HSSFClientAnchor,7.0
15642330_1.txt,hssfclientanchor anchor hssfclientanchor getanchor anchor setanchortype 2 int row2 anchor getrow1 pref getrow2 pref getrow1 int col2 anchor getcol1 pref getcol2 pref getcol1 anchor setcol2 short col2 anchor setdx1 0 anchor setdx2 pref getdx2 anchor setrow2 row2 anchor setdy1 0 anchor setdy2 pref getdy2,HSSFClientAnchor,6.0
133035254_1.txt,hssfclientanchor anchor anchor setanchortype 2,HSSFClientAnchor,3.0
15642362_1.txt,hssfclientanchor a hssfclientanchor useranchor anchor setflag short a getanchortype anchor setcol1 short math min a getcol1 a getcol2 anchor setdx1 short a getdx1 anchor setrow1 short math min a getrow1 a getrow2 anchor setdy1 short a getdy1 anchor setcol2 short math max a getcol1 a getcol2 anchor setdx2 short a getdx2 anchor setrow2 short math max a getrow1 a getrow2 anchor setdy2 short a getdy2,HSSFClientAnchor,2.0
