filename, directory, cluster
68613461_1.txt, EscherOptRecord, 1
15642598_1.txt, EscherOptRecord, 1
12440192_1.txt, EscherOptRecord, 1
92669291_1.txt, EscherOptRecord, 2
12440044_1.txt, EscherOptRecord, 1
111785559_1.txt, EscherOptRecord, 1
112311786_1.txt, EscherOptRecord, 1
73315299_2.txt, EscherOptRecord, 1
73315299_1.txt, EscherOptRecord, 1
94171992_1.txt, EscherOptRecord, 1
61719045_1.txt, EscherOptRecord, 1
15642330_1.txt, EscherOptRecord, 1
12440188_1.txt, DimensionsRecord, 2
68613461_1.txt, DimensionsRecord, 1
15642598_1.txt, DimensionsRecord, 1
12440192_1.txt, DimensionsRecord, 1
92669291_1.txt, DimensionsRecord, 1
12440188_1.txt, POIFSFileSystem, 1
68613461_1.txt, POIFSFileSystem, 1
15642598_1.txt, POIFSFileSystem, 1
12440192_1.txt, POIFSFileSystem, 2
92669291_1.txt, POIFSFileSystem, 1
12440044_1.txt, POIFSFileSystem, 1
111785559_1.txt, POIFSFileSystem, 1
112311786_1.txt, POIFSFileSystem, 1
73315299_2.txt, POIFSFileSystem, 1
73315299_1.txt, POIFSFileSystem, 1
94171992_1.txt, POIFSFileSystem, 1
61719045_1.txt, POIFSFileSystem, 1
15642330_1.txt, POIFSFileSystem, 1
558689_1.txt, POIFSFileSystem, 1
133035254_1.txt, POIFSFileSystem, 1
15642409_2.txt, POIFSFileSystem, 1
66638946_1.txt, POIFSFileSystem, 1
15642409_1.txt, POIFSFileSystem, 1
3760572_1.txt, POIFSFileSystem, 1
12440188_1.txt, Record, 1
68613461_1.txt, Record, 1
15642598_1.txt, Record, 2
12440192_1.txt, Record, 2
92669291_1.txt, Record, 2
12440044_1.txt, Record, 2
12440188_1.txt, FileInformationBlock, 1
68613461_1.txt, FileInformationBlock, 2
15642598_1.txt, FileInformationBlock, 1
12440192_1.txt, FileInformationBlock, 1
12440188_1.txt, HSSFFormulaEvaluator, 1
68613461_1.txt, HSSFFormulaEvaluator, 2
15642598_1.txt, HSSFFormulaEvaluator, 4
12440192_1.txt, HSSFFormulaEvaluator, 2
92669291_1.txt, HSSFFormulaEvaluator, 1
12440044_1.txt, HSSFFormulaEvaluator, 3
12440188_1.txt, XSSFCellStyle, 1
68613461_1.txt, XSSFCellStyle, 1
15642598_1.txt, XSSFCellStyle, 1
12440192_1.txt, XSSFCellStyle, 1
92669291_1.txt, XSSFCellStyle, 1
12440044_1.txt, XSSFCellStyle, 1
111785559_1.txt, XSSFCellStyle, 1
112311786_1.txt, XSSFCellStyle, 1
73315299_2.txt, XSSFCellStyle, 1
73315299_1.txt, XSSFCellStyle, 1
94171992_1.txt, XSSFCellStyle, 1
61719045_1.txt, XSSFCellStyle, 1
15642330_1.txt, XSSFCellStyle, 2
558689_1.txt, XSSFCellStyle, 1
133035254_1.txt, XSSFCellStyle, 1
15642409_2.txt, XSSFCellStyle, 1
66638946_1.txt, XSSFCellStyle, 1
15642409_1.txt, XSSFCellStyle, 1
3760572_1.txt, XSSFCellStyle, 1
15642594_1.txt, XSSFCellStyle, 1
15642593_1.txt, XSSFCellStyle, 1
15642365_1.txt, XSSFCellStyle, 1
15642365_2.txt, XSSFCellStyle, 1
68613461_1.txt, XSSFCellStyle, 1
15642481_1.txt, XSSFCellStyle, 1
15642441_1.txt, XSSFCellStyle, 1
15642303_1.txt, XSSFCellStyle, 1
15642365_1.txt, XSSFCellStyle, 1
15642343_1.txt, XSSFCellStyle, 1
12208676_1.txt, XSSFCellStyle, 1
96672931_1.txt, XSSFCellStyle, 1
96672931_2.txt, XSSFCellStyle, 1
96672931_3.txt, XSSFCellStyle, 1
96673744_1.txt, XSSFCellStyle, 1
96672565_1.txt, XSSFCellStyle, 1
76071738_1.txt, XSSFCellStyle, 1
96673303_1.txt, XSSFCellStyle, 1
12208683_1.txt, XSSFCellStyle, 1
12208722_1.txt, XSSFCellStyle, 1
134954814_2.txt, XSSFCellStyle, 1
12208685_1.txt, XSSFCellStyle, 1
12208720_1.txt, XSSFCellStyle, 1
134954814_1.txt, XSSFCellStyle, 1
12440188_1.txt, POIFSDocumentPath, 1
68613461_1.txt, POIFSDocumentPath, 1
15642598_1.txt, POIFSDocumentPath, 1
12440192_1.txt, POIFSDocumentPath, 2
92669291_1.txt, POIFSDocumentPath, 1
12440188_1.txt, HSSFDataFormat, 2
68613461_1.txt, HSSFDataFormat, 2
15642598_1.txt, HSSFDataFormat, 1
12440192_1.txt, HSSFDataFormat, 2
92669291_1.txt, HSSFDataFormat, 2
12440044_1.txt, HSSFDataFormat, 1
111785559_1.txt, HSSFDataFormat, 2
112311786_1.txt, HSSFDataFormat, 2
73315299_2.txt, HSSFDataFormat, 2
73315299_1.txt, HSSFDataFormat, 1
94171992_1.txt, HSSFDataFormat, 1
61719045_1.txt, HSSFDataFormat, 1
15642330_1.txt, HSSFDataFormat, 1
558689_1.txt, HSSFDataFormat, 1
133035254_1.txt, HSSFDataFormat, 1
15642409_2.txt, HSSFDataFormat, 2
66638946_1.txt, HSSFDataFormat, 2
15642409_1.txt, HSSFDataFormat, 1
3760572_1.txt, HSSFDataFormat, 1
12440188_1.txt, HSSFWorkbook, 1
68613461_1.txt, HSSFWorkbook, 1
15642598_1.txt, HSSFWorkbook, 1
12440192_1.txt, HSSFWorkbook, 1
92669291_1.txt, HSSFWorkbook, 1
12440044_1.txt, HSSFWorkbook, 1
111785559_1.txt, HSSFWorkbook, 1
112311786_1.txt, HSSFWorkbook, 1
73315299_2.txt, HSSFWorkbook, 1
73315299_1.txt, HSSFWorkbook, 3
94171992_1.txt, HSSFWorkbook, 1
61719045_1.txt, HSSFWorkbook, 2
15642330_1.txt, HSSFWorkbook, 1
558689_1.txt, HSSFWorkbook, 1
133035254_1.txt, HSSFWorkbook, 1
15642409_2.txt, HSSFWorkbook, 1
66638946_1.txt, HSSFWorkbook, 1
15642409_1.txt, HSSFWorkbook, 1
3760572_1.txt, HSSFWorkbook, 1
15642594_1.txt, HSSFWorkbook, 1
15642593_1.txt, HSSFWorkbook, 1
15642365_1.txt, HSSFWorkbook, 1
15642365_2.txt, HSSFWorkbook, 1
68613461_1.txt, HSSFWorkbook, 1
15642481_1.txt, HSSFWorkbook, 1
15642441_1.txt, HSSFWorkbook, 1
15642303_1.txt, HSSFWorkbook, 1
15642365_1.txt, HSSFWorkbook, 1
15642343_1.txt, HSSFWorkbook, 1
12208676_1.txt, HSSFWorkbook, 1
96672931_1.txt, HSSFWorkbook, 1
96672931_2.txt, HSSFWorkbook, 1
12440188_1.txt, BorderCode, 1
68613461_1.txt, BorderCode, 1
15642598_1.txt, BorderCode, 1
12440192_1.txt, BorderCode, 1
92669291_1.txt, BorderCode, 1
12440044_1.txt, BorderCode, 2
111785559_1.txt, BorderCode, 1
112311786_1.txt, BorderCode, 1
12440188_1.txt, EscherDggRecord, 1
68613461_1.txt, EscherDggRecord, 2
15642598_1.txt, EscherDggRecord, 2
12440192_1.txt, EscherDggRecord, 2
92669291_1.txt, EscherDggRecord, 1
12440188_1.txt, TableRecord, 2
68613461_1.txt, TableRecord, 1
15642598_1.txt, TableRecord, 2
12440192_1.txt, TableRecord, 1
12440188_1.txt, TableCell, 1
68613461_1.txt, TableCell, 1
15642598_1.txt, TableCell, 1
12440192_1.txt, TableCell, 1
92669291_1.txt, TableCell, 3
12440044_1.txt, TableCell, 1
111785559_1.txt, TableCell, 2
12440188_1.txt, TableRow, 2
68613461_1.txt, TableRow, 1
15642598_1.txt, TableRow, 1
12440192_1.txt, TableRow, 1
12440188_1.txt, NumberRecord, 9
68613461_1.txt, NumberRecord, 6
15642598_1.txt, NumberRecord, 1
12440192_1.txt, NumberRecord, 4
92669291_1.txt, NumberRecord, 7
12440044_1.txt, NumberRecord, 5
111785559_1.txt, NumberRecord, 8
112311786_1.txt, NumberRecord, 5
73315299_2.txt, NumberRecord, 2
73315299_1.txt, NumberRecord, 1
94171992_1.txt, NumberRecord, 3
61719045_1.txt, NumberRecord, 4
12440188_1.txt, WindowTwoRecord, 1
68613461_1.txt, WindowTwoRecord, 1
15642598_1.txt, WindowTwoRecord, 1
12440192_1.txt, WindowTwoRecord, 1
92669291_1.txt, WindowTwoRecord, 3
12440044_1.txt, WindowTwoRecord, 2
111785559_1.txt, WindowTwoRecord, 1
12440188_1.txt, Paragraph, 1
68613461_1.txt, Paragraph, 1
15642598_1.txt, Paragraph, 1
12440192_1.txt, Paragraph, 1
92669291_1.txt, Paragraph, 1
12440044_1.txt, Paragraph, 1
